id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
2083,47,п Мурино,КРАСКИ ЛЕТА,60.0614,30.4261,Типовой,2019-06-27,20.0,2263.0,65179.52,0,Монолит-кирпич,7,0.0,B,77821.0,,
32942,47,"п Мурино, корпус 40.1",КРАСКИ ЛЕТА,60.0625,30.4257,Типовой,2020-10-08,20.0,719.0,18921.49,0,Монолит-кирпич,7,0.0,D,71259.0,,
32943,47,"п Мурино, корпус 40.2",КРАСКИ ЛЕТА,60.0623,30.4254,Типовой,2020-10-08,20.0,108.0,3844.24,0,Монолит-кирпич,7,0.0,D,99333.0,,
32944,47,"п Мурино, корпус 40.3",КРАСКИ ЛЕТА,60.0623,30.4254,Типовой,2020-10-08,19.0,903.0,24948.87,0,Монолит-кирпич,7,0.0,D,84325.0,,
28578,47,"деревня Каськово, улица Пихтовая, д. 10",ЛАД,59.6199,29.4962,Другое,2019-12-23,2.0,6.0,480.0,0,Кирпич,1,6.0,A+,,,
22502,47,"Аннолово, аллея Липовая, д. 10, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.64,30.5321,Другое,2017-12-21,2.0,8.0,532.0,0,Кирпич,1,0.0,B,,,
22504,47,"Аннолово, аллея Липовая, д. 11, блок-секция 1-6",ЛЕННЕДВИЖИМОСТЬ,59.6407,30.5298,Другое,2017-12-21,2.0,6.0,521.4,0,Кирпич,1,0.0,B,,,
22829,47,"Аннолово, аллея Березовая, д. 19, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.6398,30.5291,Другое,2017-12-21,2.0,8.0,532.0,0,Кирпич,1,0.0,B,,,
22550,47,"д Аннолово, аллея Липовая, д. 22, блок-секция 1-6",ЛЕННЕДВИЖИМОСТЬ,59.6404,30.5278,Другое,2017-12-21,2.0,6.0,521.4,0,Кирпич,1,0.0,B,,,
22554,47,"Аннолово, аллея Липовая, д. 20, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.6404,30.5284,Другое,2017-12-21,2.0,8.0,532.0,0,Кирпич,1,0.0,B,,,
24333,47,"Аннолово, аллея Липовая, д. 16, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.6403,30.5297,Другое,2017-12-21,2.0,8.0,532.0,0,Другое,1,0.0,B,,,
22547,47,"Аннолово, аллея Липовая, д. 13, блок-секция 1-6",ЛЕННЕДВИЖИМОСТЬ,59.6408,30.5291,Другое,2017-12-21,2.0,6.0,521.4,0,Кирпич,1,0.0,B,,,
22549,47,"Аннолово, аллея Липовая, д. 14, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.6402,30.5303,Другое,2017-12-21,2.0,8.0,532.0,0,Кирпич,1,0.0,B,,,
22573,47,"д Аннолово, аллея Березовая, д. 18, блок-секция 1-6",ЛЕННЕДВИЖИМОСТЬ,59.6395,30.5278,Другое,2017-12-21,2.0,6.0,521.4,0,Кирпич,1,0.0,B,,,
22884,47,"Аннолово, аллея Березовая, д. 15, блок-секция 1-8",ЛЕННЕДВИЖИМОСТЬ,59.6398,30.5304,Другое,2017-12-21,2.0,8.0,532.0,0,Другое,1,0.0,B,,,
24263,47,"Аннолово, аллея Березовая, д. 4, блок-секция 1-6",ЛЕННЕДВИЖИМОСТЬ,59.6389,30.534,Другое,2017-12-21,2.0,6.0,521.4,0,Другое,1,0.0,B,,,
