id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count
42845,77,"г Москва, квартал № 7, д. 3, корпус 7",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6186,37.4124,Типовой,2023-09-30,18.0,192.0,7843.2,0,Панель,4.0,5,0.0,A,204839.0,"2,6",8.0
42748,77,"г Москва, корпус 55",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6191,37.4126,Типовой,2023-06-30,18.0,192.0,7843.2,0,Панель,4.0,5,0.0,A,204864.0,"2,6",7.0
40974,77,"г Москва, корпус 51",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.5961,37.4515,Типовой,2023-06-30,18.0,176.0,7873.6,0,Панель,2.0,5,0.0,A+,205260.0,"2,6",8.0
40637,77,"г Москва, корпус 50",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.5962,37.451,Типовой,2023-06-30,18.0,240.0,9888.0,0,Панель,2.0,5,0.0,C,222087.0,"2,6",9.0
39824,77,корпус 48,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.5962,37.45,Типовой,2023-09-30,17.0,936.0,50822.7,0,Панель,2.0,5,264.0,A+,192644.0,"2,66 - 3,95",45.0
27717,77,"д Николо-Хованское, корпус 43",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6025,37.4153,Типовой,2022-09-30,16.0,611.0,30531.1,0,Другое,3.0,1,123.0,A,160375.0,"2,63 - 4,04",68.0
27718,77,"д Николо-Хованское, корпус 45",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6043,37.417,Типовой,2022-09-30,23.0,231.0,10881.6,0,Другое,3.0,2,0.0,A,178964.0,"2,62",25.0
27719,77,"д Николо-Хованское, корпус 46",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТИРОН,55.6036,37.4179,Типовой,2022-09-30,23.0,231.0,10881.6,0,Другое,2.0,1,0.0,A,181615.0,"2,62",25.0
41205,77,"г Москва, район Якиманка, переулок Большой Толмачевский, строение 1,3,4,4а,12,13,14,15, вл. 5",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТОЛМАЧЕВСКИЙ,55.7394,37.6221,Элитный,2024-06-30,14.0,153.0,25379.2,0,Монолит-кирпич,10.0,9,279.0,A+,1730653.0,"3,35 - 8,25",21.0
44386,77,"г Москва, б-р Кавказский, корпус 1.1, 1.2, 1.3, 1.4",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТОРГОВЫЙ ДОМ СПУТНИК,55.6347,37.6709,Типовой,2024-06-30,34.0,1220.0,53880.6,0,Монолит-кирпич,6.0,10,236.0,A,239926.0,"2,62",14.0
44387,77,"г Москва, б-р Кавказский, корпус 1.5, 1.6",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТОРГОВЫЙ ДОМ СПУТНИК,55.6347,37.6709,Типовой,2025-12-31,34.0,754.0,29437.2,0,Монолит-кирпич,6.0,10,133.0,A,255000.0,"2,62",14.0
31098,77,"город Москва, район Хамовники, набережная Пречистенская, вл. 43",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТОРГОВЫЙ ДОМ ШАТЕР,55.746,37.6077,Элитный,2021-11-22,7.0,0.0,0.0,0,Монолит-кирпич,10.0,10,70.0,A++,716236.0,,0.0
