id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,flats,square,object_problem,wall_material,transport_dist_index,infrastructure_index,parking_count,energy_eff,floors,ceiling_height,price_avg,guest_parking_count
45576,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8482,30.0854,Комфорт,2024-09-30,230.0,10495.44,0,Монолит-кирпич,1.0,5,0.0,A,5.0,"2,76",,88.0
38631,78,п Стрельна,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8505,30.0882,Комфорт,2023-06-30,245.0,11463.69,0,Монолит-кирпич,4.0,5,0.0,A,5.0,"2,76",121169.0,26.0
38632,78,п Стрельна,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8502,30.087,Комфорт,2023-06-30,234.0,10814.53,0,Монолит-кирпич,4.0,5,0.0,A,5.0,"2,76 - 2,78",141435.0,0.0
38630,78,п Стрельна,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8511,30.0895,Комфорт,2023-06-30,245.0,11416.14,0,Монолит-кирпич,4.0,5,0.0,A,5.0,"2,76",136592.0,0.0
45577,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8481,30.0877,Комфорт,2024-09-30,191.0,9143.91,0,Монолит-кирпич,1.0,7,0.0,A,5.0,"2,76",,44.0
45574,78,"п Стрельна, район Петродворцовый",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-ЛЮБОГРАД,59.8483,30.0854,Комфорт,2024-09-30,55.0,2024.13,0,Монолит-кирпич,1.0,5,0.0,A,5.0,"2,76",,12.0
40993,78,"г Санкт-Петербург, район Пос.Шушары",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-МОСКОВСКИЙ,59.754,30.3211,Комфорт,2023-12-31,411.0,18100.9,0,Монолит-кирпич,1.0,2,0.0,A,6.0,"2,76 - 3",144571.0,0.0
40992,78,"г Санкт-Петербург, район Пос.Шушары",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-МОСКОВСКИЙ,59.754,30.3211,Комфорт,2023-12-31,411.0,18100.9,0,Монолит-кирпич,1.0,2,0.0,A,6.0,"2,76 - 3",140928.0,0.0
40994,78,"г Санкт-Петербург, район Пос.Шушары",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-МОСКОВСКИЙ,59.754,30.3211,Комфорт,2023-12-31,0.0,0.0,0,Монолит-кирпич,1.0,2,370.0,Не нормируется,5.0,,,0.0
40991,78,"г Санкт-Петербург, район Пос.Шушары",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КВС-МОСКОВСКИЙ,59.754,30.3211,Комфорт,2023-12-31,411.0,18100.9,0,Монолит-кирпич,1.0,2,0.0,A,6.0,"2,76 - 3",143075.0,0.0
30112,78,"г Санкт-Петербург, проспект Коломяжский, д. 4, литера Д",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КОЛОМЯЖСКИЙ,59.9903,30.2928,Комфорт,2022-04-01,0.0,0.0,0,Монолит-кирпич,8.0,8,38.0,B,14.0,,110373.0,0.0
43857,78,"г Санкт-Петербург, ул Школьная",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КОРВЕТ,59.988,30.284,Комфорт,2025-12-31,792.0,29879.76,0,Другое,6.0,8,100.0,C,13.0,"2,68",,261.0
35362,78,п Шушары,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КРОКУС,59.7767,30.326,Типовой,2022-09-30,252.0,11399.0,0,Монолит-кирпич,5.0,1,0.0,B,5.0,"2,7",116674.0,71.0
21477,78,г Санкт-Петербург,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛАМБРИ,59.9653,30.2859,Элитный,2022-01-12,199.0,21291.0,0,Другое,10.0,9,230.0,B,11.0,"3 - 3,3",256136.0,29.0
43007,78,"г Санкт-Петербург, район Центральный, площадь Конюшенная, д. 2, литера Д",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛАНСЕЛОТ,59.9405,30.3276,Элитный,2023-06-30,0.0,0.0,0,Кирпич,8.0,9,0.0,B,6.0,,,0.0
40289,78,"линия 20-я В.О., д. 19",СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛЕГЕНДА БОЛЬШОГО ПРОСПЕКТА В.О,59.935,30.2649,Бизнес,2025-06-30,146.0,11804.44,0,Другое,10.0,9,100.0,A+,10.0,"2,98 - 3,65",400000.0,15.0
