id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count,transport_dist_index
19800,78,"г Санкт-Петербург, проспект Энгельса, д. 2",БП ИСТЕЙТ-ЛАНCКОЕ,59.9973,30.3287,Бизнес,2021-09-21,12.0,207.0,13822.85,0,Кирпич,9,87.0,E,114751.0,"2,75",0.0,9.0
41356,78,город Санкт-Петербург,БС-66,60.0549,30.2738,Комфорт,2024-03-31,7.0,0.0,0.0,0,Монолит,4,272.0,Не нормируется,,,0.0,5.0
41355,78,город Санкт-Петербург,БС-66,60.0547,30.2741,Комфорт,2024-03-31,26.0,274.0,12413.26,0,Монолит,4,0.0,A,,"2,75 - 3,05",54.0,5.0
41358,78,город Санкт-Петербург,БС-66,60.0551,30.2736,Комфорт,2024-03-31,26.0,274.0,12413.26,0,Монолит,4,0.0,A,,"2,75 - 3,05",25.0,5.0
41354,78,город Санкт-Петербург,БС-66,60.0548,30.2739,Комфорт,2024-03-31,26.0,274.0,12413.26,0,Монолит,4,0.0,A,143953.0,"2,75 - 3,05",9.0,5.0
41359,78,город Санкт-Петербург,БС-66,60.055,30.2738,Комфорт,2024-03-31,7.0,0.0,0.0,0,Монолит,4,268.0,Не нормируется,,,0.0,5.0
41357,78,город Санкт-Петербург,БС-66,60.055,30.2735,Комфорт,2024-03-31,26.0,274.0,12413.26,0,Монолит,4,0.0,A,159310.0,"2,75 - 3,05",0.0,5.0
42385,78,"г Санкт-Петербург, пр-кт Ленинский, д. 153",БТК,59.8499,30.3029,Комфорт,2026-06-30,26.0,0.0,0.0,0,Монолит-кирпич,8,104.0,B,193122.0,,19.0,5.0
24039,78,"г Пушкин, улица Оранжерейная, д. 51а, корпус Литера А",ВАСТ ДИЗАЙН,59.7225,30.4124,Бизнес,2018-08-17,5.0,82.0,5048.72,0,Кирпич,9,0.0,B,,,,1.0
2552,78,"г Санкт-Петербург, проспект Кондратьевский",ВЕРОНА МЕНЕДЖМЕНТ,59.9755,30.3875,Комфорт,2018-12-27,17.0,1472.0,62482.8,0,Монолит-кирпич,9,0.0,C,,,,8.0
